group,2.0 or below,2.2,3.2,3.4,3.8,4.0,4.2,4.4,4.6,4.8,5.0,5.2,5.4,5.6,5.8,6.0
Agender - does not identify with having a gender,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Genderfluid - does not have a singly unchanging gender,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Genderqueer - identifies with gender between man and woman,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Man,4,1,1,2,3,5,6,3,15,27,35,37,45,46,50,19
Nonbinary - does not identify with man or woman,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1
Other (please specify)|Nonbinary + woman,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Other (please specify)|Transsexual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Other (please specify)|Unlabeled,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Other (please specify)|Walmart bag,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Other (please specify)|dumb question,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Questioning,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Woman,0,0,0,0,0,2,1,4,10,26,40,44,64,72,80,48
